word1,word2,word3,n,date
zealand,covid,19,154,2020-06-08T00:00:00Z
total,covid,19,153,2020-06-08T00:00:00Z
shahid,khaqan,abbasi,151,2020-06-08T00:00:00Z
coronavirus,relief,package,150,2020-06-08T00:00:00Z
covid,19,research,150,2020-06-08T00:00:00Z
jellyfish,coronavirus,waste,150,2020-06-08T00:00:00Z
europe,saved,millions,144,2020-06-08T00:00:00Z
covid,19,quarantine,143,2020-06-08T00:00:00Z
40,million,unemployed,142,2020-06-08T00:00:00Z
economy,officially,entered,142,2020-06-08T00:00:00Z
asymptomatic,coronavirus,patients,141,2020-06-08T00:00:00Z
19,drug,runs,140,2020-06-08T00:00:00Z
2020,covid,19,140,2020-06-08T00:00:00Z
covid,19,antibody,139,2020-06-08T00:00:00Z
israeli,apartheid,axadivest,139,2020-06-08T00:00:00Z
israeli,banks,listed,139,2020-06-08T00:00:00Z
funding,israels,illegal,138,2020-06-08T00:00:00Z
israels,illegal,settlements,138,2020-06-08T00:00:00Z
coronavirus,impact,economy,136,2020-06-08T00:00:00Z
memorial,day,weekend,136,2020-06-08T00:00:00Z
thomas,chatterton,williams,136,2020-06-08T00:00:00Z
2019,covid,19,135,2020-06-08T00:00:00Z
covid,19,study,135,2020-06-08T00:00:00Z
blue,sky,thinking,133,2020-06-08T00:00:00Z
amid,george,floyd,132,2020-06-08T00:00:00Z
disease,covid,19,132,2020-06-08T00:00:00Z
home,stay,safe,132,2020-06-08T00:00:00Z
catch,covid,19,131,2020-06-08T00:00:00Z
coronavirus,covid19,coronavirusoutbreak,131,2020-06-08T00:00:00Z
covid,19,measures,131,2020-06-08T00:00:00Z
city,begins,reopening,130,2020-06-08T00:00:00Z
covid,19,tally,130,2020-06-08T00:00:00Z
pre,covid,19,130,2020-06-08T00:00:00Z
treat,covid,19,130,2020-06-08T00:00:00Z
life,threatening,conditions,129,2020-06-08T00:00:00Z
stay,home,stay,129,2020-06-08T00:00:00Z
covid,19,social,128,2020-06-08T00:00:00Z
delhi,chief,minister,128,2020-06-08T00:00:00Z
disease,2019,covid,128,2020-06-08T00:00:00Z
stop,covid,19,128,2020-06-08T00:00:00Z
uk,quarantine,rules,128,2020-06-08T00:00:00Z
million,covid,19,127,2020-06-08T00:00:00Z
19,related,deaths,126,2020-06-08T00:00:00Z
narrative,overnight,thomas,126,2020-06-08T00:00:00Z
prime,minister,jacindaardern,126,2020-06-08T00:00:00Z
overnight,thomas,chatterton,125,2020-06-08T00:00:00Z
pre,lockdown,level,125,2020-06-08T00:00:00Z
covid,19,prevention,124,2020-06-08T00:00:00Z
bringing,total,confirmed,123,2020-06-08T00:00:00Z
covid,19,transmission,123,2020-06-08T00:00:00Z
conditions,denied,care,122,2020-06-08T00:00:00Z
maine,factory,tour,122,2020-06-08T00:00:00Z
county,covid,19,121,2020-06-08T00:00:00Z
floyd,protests,coronavirus,121,2020-06-08T00:00:00Z
