word1,word2,n,date
cov,2,492,2021-12-24T00:00:00Z
crispycx,chimera414,489,2021-12-24T00:00:00Z
contact,tracing,488,2021-12-24T00:00:00Z
covid,hit,487,2021-12-24T00:00:00Z
6,months,485,2021-12-24T00:00:00Z
christmas,dinner,482,2021-12-24T00:00:00Z
santa,claus,482,2021-12-24T00:00:00Z
covid,infection,481,2021-12-24T00:00:00Z
cruise,ship,480,2021-12-24T00:00:00Z
covid,situation,478,2021-12-24T00:00:00Z
social,distancing,478,2021-12-24T00:00:00Z
lt,3,477,2021-12-24T00:00:00Z
night,curfew,475,2021-12-24T00:00:00Z
covid,rules,473,2021-12-24T00:00:00Z
joe,biden,465,2021-12-24T00:00:00Z
katiemaree,88,465,2021-12-24T00:00:00Z
5,days,461,2021-12-24T00:00:00Z
gt,gt,461,2021-12-24T00:00:00Z
narvuntien,oscarswild1,460,2021-12-24T00:00:00Z
single,day,460,2021-12-24T00:00:00Z
covid,vax,458,2021-12-24T00:00:00Z
sore,throat,454,2021-12-24T00:00:00Z
common,sense,452,2021-12-24T00:00:00Z
fucking,covid,450,2021-12-24T00:00:00Z
stop,covid,450,2021-12-24T00:00:00Z
home,test,448,2021-12-24T00:00:00Z
fast,recovery,443,2021-12-24T00:00:00Z
3,months,441,2021-12-24T00:00:00Z
yoongi,covid,441,2021-12-24T00:00:00Z
omicron,surge,438,2021-12-24T00:00:00Z
10,day,437,2021-12-24T00:00:00Z
united,delta,437,2021-12-24T00:00:00Z
oscarswild1,bolzmannmichael,433,2021-12-24T00:00:00Z
health,workers,431,2021-12-24T00:00:00Z
covid,infections,429,2021-12-24T00:00:00Z
19,outbreak,425,2021-12-24T00:00:00Z
bolzmannmichael,crispycx,425,2021-12-24T00:00:00Z
save,lives,423,2021-12-24T00:00:00Z
severe,covid,422,2021-12-24T00:00:00Z
lateral,flow,421,2021-12-24T00:00:00Z
covid,variants,417,2021-12-24T00:00:00Z
death,rate,413,2021-12-24T00:00:00Z
testing,sites,412,2021-12-24T00:00:00Z
climate,change,411,2021-12-24T00:00:00Z
fight,covid,411,2021-12-24T00:00:00Z
covid,pill,406,2021-12-24T00:00:00Z
positive,test,402,2021-12-24T00:00:00Z
test,negative,402,2021-12-24T00:00:00Z
pandemic,response,399,2021-12-24T00:00:00Z
19,omicron,398,2021-12-24T00:00:00Z
confirmed,covid,397,2021-12-24T00:00:00Z
19,tests,391,2021-12-24T00:00:00Z
health,officials,389,2021-12-24T00:00:00Z
covid,2,388,2021-12-24T00:00:00Z
celebrate,christmas,387,2021-12-24T00:00:00Z
donald,trump,386,2021-12-24T00:00:00Z
merry,xmas,385,2021-12-24T00:00:00Z
dec,24,384,2021-12-24T00:00:00Z
real,pandemic,384,2021-12-24T00:00:00Z
treat,covid,383,2021-12-24T00:00:00Z
free,covid,382,2021-12-24T00:00:00Z
14,days,378,2021-12-24T00:00:00Z
2,3,377,2021-12-24T00:00:00Z
coronavirus,pandemic,377,2021-12-24T00:00:00Z
delta,cancel,377,2021-12-24T00:00:00Z
contracted,covid,376,2021-12-24T00:00:00Z
covid,started,371,2021-12-24T00:00:00Z
19,infections,369,2021-12-24T00:00:00Z
covid,lol,369,2021-12-24T00:00:00Z
pcr,tests,369,2021-12-24T00:00:00Z
