word1,n,date
found,1974,2021-09-04T00:00:00Z
7,1972,2021-09-04T00:00:00Z
pretty,1970,2021-09-04T00:00:00Z
close,1965,2021-09-04T00:00:00Z
sense,1961,2021-09-04T00:00:00Z
political,1959,2021-09-04T00:00:00Z
hours,1958,2021-09-04T00:00:00Z
chance,1956,2021-09-04T00:00:00Z
community,1954,2021-09-04T00:00:00Z
infections,1954,2021-09-04T00:00:00Z
lockdowns,1943,2021-09-04T00:00:00Z
house,1940,2021-09-04T00:00:00Z
doses,1937,2021-09-04T00:00:00Z
fear,1937,2021-09-04T00:00:00Z
reports,1929,2021-09-04T00:00:00Z
college,1909,2021-09-04T00:00:00Z
means,1908,2021-09-04T00:00:00Z
talking,1905,2021-09-04T00:00:00Z
local,1903,2021-09-04T00:00:00Z
surge,1887,2021-09-04T00:00:00Z
guess,1886,2021-09-04T00:00:00Z
joe,1885,2021-09-04T00:00:00Z
season,1875,2021-09-04T00:00:00Z
evidence,1859,2021-09-04T00:00:00Z
kill,1855,2021-09-04T00:00:00Z
follow,1854,2021-09-04T00:00:00Z
happy,1848,2021-09-04T00:00:00Z
severe,1846,2021-09-04T00:00:00Z
body,1841,2021-09-04T00:00:00Z
20,1836,2021-09-04T00:00:00Z
safety,1835,2021-09-04T00:00:00Z
choice,1827,2021-09-04T00:00:00Z
stupid,1826,2021-09-04T00:00:00Z
china,1813,2021-09-04T00:00:00Z
pfizer,1809,2021-09-04T00:00:00Z
half,1799,2021-09-04T00:00:00Z
happened,1790,2021-09-04T00:00:00Z
continue,1787,2021-09-04T00:00:00Z
heres,1785,2021-09-04T00:00:00Z
economy,1784,2021-09-04T00:00:00Z
national,1782,2021-09-04T00:00:00Z
yall,1782,2021-09-04T00:00:00Z
research,1776,2021-09-04T00:00:00Z
night,1769,2021-09-04T00:00:00Z
disaster,1768,2021-09-04T00:00:00Z
killing,1761,2021-09-04T00:00:00Z
current,1753,2021-09-04T00:00:00Z
dose,1753,2021-09-04T00:00:00Z
happen,1747,2021-09-04T00:00:00Z
canada,1730,2021-09-04T00:00:00Z
friend,1729,2021-09-04T00:00:00Z
anti,1727,2021-09-04T00:00:00Z
fda,1726,2021-09-04T00:00:00Z
freedom,1723,2021-09-04T00:00:00Z
yesterday,1720,2021-09-04T00:00:00Z
immune,1717,2021-09-04T00:00:00Z
including,1717,2021-09-04T00:00:00Z
wave,1715,2021-09-04T00:00:00Z
article,1713,2021-09-04T00:00:00Z
18,1712,2021-09-04T00:00:00Z
worst,1712,2021-09-04T00:00:00Z
food,1709,2021-09-04T00:00:00Z
heart,1706,2021-09-04T00:00:00Z
issue,1705,2021-09-04T00:00:00Z
save,1703,2021-09-04T00:00:00Z
myanmar,1700,2021-09-04T00:00:00Z
online,1699,2021-09-04T00:00:00Z
jobs,1696,2021-09-04T00:00:00Z
la,1694,2021-09-04T00:00:00Z
check,1691,2021-09-04T00:00:00Z
whatshappeninginmyanmar,1690,2021-09-04T00:00:00Z
allowed,1688,2021-09-04T00:00:00Z
teachers,1683,2021-09-04T00:00:00Z
waiting,1680,2021-09-04T00:00:00Z
story,1669,2021-09-04T00:00:00Z
