word1,n,date
called,891,2020-01-23T00:00:00Z
diagnosed,885,2020-01-23T00:00:00Z
committee,881,2020-01-23T00:00:00Z
test,881,2020-01-23T00:00:00Z
transmitted,877,2020-01-23T00:00:00Z
ncov,875,2020-01-23T00:00:00Z
ill,874,2020-01-23T00:00:00Z
dangerous,872,2020-01-23T00:00:00Z
hk,870,2020-01-23T00:00:00Z
rate,867,2020-01-23T00:00:00Z
story,865,2020-01-23T00:00:00Z
200,862,2020-01-23T00:00:00Z
closed,859,2020-01-23T00:00:00Z
kill,857,2020-01-23T00:00:00Z
holiday,852,2020-01-23T00:00:00Z
prevention,852,2020-01-23T00:00:00Z
article,838,2020-01-23T00:00:00Z
diseases,838,2020-01-23T00:00:00Z
reached,838,2020-01-23T00:00:00Z
whats,825,2020-01-23T00:00:00Z
doctors,824,2020-01-23T00:00:00Z
announce,821,2020-01-23T00:00:00Z
gonna,819,2020-01-23T00:00:00Z
fuck,815,2020-01-23T00:00:00Z
govt,815,2020-01-23T00:00:00Z
life,810,2020-01-23T00:00:00Z
announced,809,2020-01-23T00:00:00Z
daily,806,2020-01-23T00:00:00Z
nyt,805,2020-01-23T00:00:00Z
infectious,803,2020-01-23T00:00:00Z
top,799,2020-01-23T00:00:00Z
10,797,2020-01-23T00:00:00Z
train,792,2020-01-23T00:00:00Z
stock,791,2020-01-23T00:00:00Z
ccp,790,2020-01-23T00:00:00Z
crisis,788,2020-01-23T00:00:00Z
youre,785,2020-01-23T00:00:00Z
air,781,2020-01-23T00:00:00Z
warning,781,2020-01-23T00:00:00Z
begin,777,2020-01-23T00:00:00Z
dr,777,2020-01-23T00:00:00Z
issues,776,2020-01-23T00:00:00Z
lot,772,2020-01-23T00:00:00Z
citizens,771,2020-01-23T00:00:00Z
didnt,771,2020-01-23T00:00:00Z
monitoring,769,2020-01-23T00:00:00Z
wild,769,2020-01-23T00:00:00Z
weeks,767,2020-01-23T00:00:00Z
fast,766,2020-01-23T00:00:00Z
realdonaldtrump,765,2020-01-23T00:00:00Z
quickly,764,2020-01-23T00:00:00Z
study,763,2020-01-23T00:00:00Z
told,760,2020-01-23T00:00:00Z
ministry,757,2020-01-23T00:00:00Z
level,751,2020-01-23T00:00:00Z
county,749,2020-01-23T00:00:00Z
locked,748,2020-01-23T00:00:00Z
steps,748,2020-01-23T00:00:00Z
wuhanvirus,748,2020-01-23T00:00:00Z
recently,747,2020-01-23T00:00:00Z
theyre,746,2020-01-23T00:00:00Z
plane,744,2020-01-23T00:00:00Z
sickened,743,2020-01-23T00:00:00Z
trains,741,2020-01-23T00:00:00Z
affected,739,2020-01-23T00:00:00Z
huanggang,737,2020-01-23T00:00:00Z
beer,731,2020-01-23T00:00:00Z
wash,729,2020-01-23T00:00:00Z
treatment,728,2020-01-23T00:00:00Z
business,723,2020-01-23T00:00:00Z
victim,721,2020-01-23T00:00:00Z
severe,719,2020-01-23T00:00:00Z
doctor,715,2020-01-23T00:00:00Z
woman,715,2020-01-23T00:00:00Z
federal,714,2020-01-23T00:00:00Z
traveling,712,2020-01-23T00:00:00Z
kills,711,2020-01-23T00:00:00Z
hold,710,2020-01-23T00:00:00Z
heard,709,2020-01-23T00:00:00Z
cdcgov,708,2020-01-23T00:00:00Z
worry,708,2020-01-23T00:00:00Z
coronaviruses,706,2020-01-23T00:00:00Z
sold,705,2020-01-23T00:00:00Z
scared,704,2020-01-23T00:00:00Z
mers,698,2020-01-23T00:00:00Z
staff,698,2020-01-23T00:00:00Z
north,696,2020-01-23T00:00:00Z
travelling,696,2020-01-23T00:00:00Z
23,694,2020-01-23T00:00:00Z
reuters,691,2020-01-23T00:00:00Z
impeachment,690,2020-01-23T00:00:00Z
wont,690,2020-01-23T00:00:00Z
lax,688,2020-01-23T00:00:00Z
yall,684,2020-01-23T00:00:00Z
workers,682,2020-01-23T00:00:00Z
ground,680,2020-01-23T00:00:00Z
seafood,674,2020-01-23T00:00:00Z
call,673,2020-01-23T00:00:00Z
travellers,670,2020-01-23T00:00:00Z
precautions,666,2020-01-23T00:00:00Z
deal,665,2020-01-23T00:00:00Z
month,665,2020-01-23T00:00:00Z
hits,663,2020-01-23T00:00:00Z
outbreaks,661,2020-01-23T00:00:00Z
sounds,661,2020-01-23T00:00:00Z
hours,660,2020-01-23T00:00:00Z
ppl,660,2020-01-23T00:00:00Z
reaches,660,2020-01-23T00:00:00Z
system,660,2020-01-23T00:00:00Z
god,658,2020-01-23T00:00:00Z
india,657,2020-01-23T00:00:00Z
prepared,656,2020-01-23T00:00:00Z
tuesday,655,2020-01-23T00:00:00Z
feel,650,2020-01-23T00:00:00Z
mutating,649,2020-01-23T00:00:00Z
surge,649,2020-01-23T00:00:00Z
contagion,646,2020-01-23T00:00:00Z
asian,643,2020-01-23T00:00:00Z
president,640,2020-01-23T00:00:00Z
multiple,635,2020-01-23T00:00:00Z
signs,628,2020-01-23T00:00:00Z
cure,625,2020-01-23T00:00:00Z
night,620,2020-01-23T00:00:00Z
entire,617,2020-01-23T00:00:00Z
info,616,2020-01-23T00:00:00Z
late,616,2020-01-23T00:00:00Z
lives,615,2020-01-23T00:00:00Z
14,609,2020-01-23T00:00:00Z
fourth,609,2020-01-23T00:00:00Z
hongkong,608,2020-01-23T00:00:00Z
philippines,608,2020-01-23T00:00:00Z
efforts,605,2020-01-23T00:00:00Z
treated,605,2020-01-23T00:00:00Z
weekend,605,2020-01-23T00:00:00Z
america,604,2020-01-23T00:00:00Z
linked,602,2020-01-23T00:00:00Z
type,602,2020-01-23T00:00:00Z
minister,600,2020-01-23T00:00:00Z
catch,599,2020-01-23T00:00:00Z
traveled,599,2020-01-23T00:00:00Z
2003,596,2020-01-23T00:00:00Z
indian,596,2020-01-23T00:00:00Z
airlines,595,2020-01-23T00:00:00Z
current,593,2020-01-23T00:00:00Z
period,592,2020-01-23T00:00:00Z
leaving,591,2020-01-23T00:00:00Z
ahead,589,2020-01-23T00:00:00Z
healthcare,589,2020-01-23T00:00:00Z
newly,586,2020-01-23T00:00:00Z
yesterday,585,2020-01-23T00:00:00Z
inside,584,2020-01-23T00:00:00Z
link,583,2020-01-23T00:00:00Z
ready,582,2020-01-23T00:00:00Z
lime,579,2020-01-23T00:00:00Z
meat,577,2020-01-23T00:00:00Z
makes,576,2020-01-23T00:00:00Z
shuts,576,2020-01-23T00:00:00Z
allowed,575,2020-01-23T00:00:00Z
centre,574,2020-01-23T00:00:00Z
set,574,2020-01-23T00:00:00Z
arrived,570,2020-01-23T00:00:00Z
trade,570,2020-01-23T00:00:00Z
research,566,2020-01-23T00:00:00Z
139,563,2020-01-23T00:00:00Z
worst,561,2020-01-23T00:00:00Z
guys,559,2020-01-23T00:00:00Z
remember,559,2020-01-23T00:00:00Z
rats,558,2020-01-23T00:00:00Z
virushit,558,2020-01-23T00:00:00Z
locks,557,2020-01-23T00:00:00Z
passenger,557,2020-01-23T00:00:00Z
testing,557,2020-01-23T00:00:00Z
follow,555,2020-01-23T00:00:00Z
london,555,2020-01-23T00:00:00Z
starting,555,2020-01-23T00:00:00Z
border,553,2020-01-23T00:00:00Z
wuhans,553,2020-01-23T00:00:00Z
concerned,552,2020-01-23T00:00:00Z
xi,552,2020-01-23T00:00:00Z
bit,551,2020-01-23T00:00:00Z
past,551,2020-01-23T00:00:00Z
similar,550,2020-01-23T00:00:00Z
direct,548,2020-01-23T00:00:00Z
talking,546,2020-01-23T00:00:00Z
wearing,546,2020-01-23T00:00:00Z
australian,545,2020-01-23T00:00:00Z
conference,545,2020-01-23T00:00:00Z
economy,545,2020-01-23T00:00:00Z
cough,544,2020-01-23T00:00:00Z
bc,542,2020-01-23T00:00:00Z
chinavirus,541,2020-01-23T00:00:00Z
isolation,541,2020-01-23T00:00:00Z
declaring,539,2020-01-23T00:00:00Z
months,539,2020-01-23T00:00:00Z
scare,538,2020-01-23T00:00:00Z
worldwide,538,2020-01-23T00:00:00Z
plans,537,2020-01-23T00:00:00Z
shenzhen,537,2020-01-23T00:00:00Z
impact,535,2020-01-23T00:00:00Z
claims,533,2020-01-23T00:00:00Z
key,533,2020-01-23T00:00:00Z
press,533,2020-01-23T00:00:00Z
wait,533,2020-01-23T00:00:00Z
